ID	TOKEN	CATEGORY
0	[PAD]	GENERAL
1	[CLS]	GENERAL
2	[SEP]	GENERAL
3	[MASK]	GENERAL
4	[PLCH0]	GENERAL
5	[PLCH1]	GENERAL
6	[PLCH2]	GENERAL
7	[PLCH3]	GENERAL
8	[PLCH4]	GENERAL
9	[UNK]	GENERAL
10	FEMALE	BACKGROUND
11	MALE	BACKGROUND
12	MONTH_1	MONTH
13	MONTH_2	MONTH
14	MONTH_3	MONTH
15	MONTH_4	MONTH
16	MONTH_5	MONTH
17	MONTH_6	MONTH
18	MONTH_7	MONTH
19	MONTH_8	MONTH
20	MONTH_9	MONTH
21	MONTH_10	MONTH
22	MONTH_11	MONTH
23	MONTH_12	MONTH
24	YEAR_1945	YEAR
25	YEAR_1946	YEAR
26	YEAR_1947	YEAR
27	YEAR_1948	YEAR
28	YEAR_1949	YEAR
29	YEAR_1950	YEAR
30	YEAR_1951	YEAR
31	YEAR_1952	YEAR
32	YEAR_1953	YEAR
33	YEAR_1954	YEAR
34	YEAR_1955	YEAR
35	YEAR_1956	YEAR
36	YEAR_1957	YEAR
37	YEAR_1958	YEAR
38	YEAR_1959	YEAR
39	YEAR_1960	YEAR
40	YEAR_1961	YEAR
41	YEAR_1962	YEAR
42	YEAR_1963	YEAR
43	YEAR_1964	YEAR
44	YEAR_1965	YEAR
45	YEAR_1966	YEAR
46	YEAR_1967	YEAR
47	YEAR_1968	YEAR
48	YEAR_1969	YEAR
49	YEAR_1970	YEAR
50	YEAR_1971	YEAR
51	YEAR_1972	YEAR
52	YEAR_1973	YEAR
53	YEAR_1974	YEAR
54	YEAR_1975	YEAR
55	YEAR_1976	YEAR
56	YEAR_1977	YEAR
57	YEAR_1978	YEAR
58	YEAR_1979	YEAR
59	YEAR_1980	YEAR
60	YEAR_1981	YEAR
61	YEAR_1982	YEAR
62	YEAR_1983	YEAR
63	YEAR_1984	YEAR
64	YEAR_1985	YEAR
65	YEAR_1986	YEAR
66	YEAR_1987	YEAR
67	YEAR_1988	YEAR
68	YEAR_1989	YEAR
69	YEAR_1990	YEAR
70	YEAR_1991	YEAR
71	YEAR_1992	YEAR
72	YEAR_1993	YEAR
73	YEAR_1994	YEAR
74	YEAR_1995	YEAR
75	YEAR_1996	YEAR
76	INCOME_1	INCOME
77	INCOME_2	INCOME
78	INCOME_3	INCOME
79	INCOME_4	INCOME
80	INCOME_5	INCOME
81	INCOME_6	INCOME
82	INCOME_7	INCOME
83	INCOME_8	INCOME
84	INCOME_9	INCOME
85	INCOME_10	INCOME
86	INCOME_11	INCOME
87	INCOME_12	INCOME
88	INCOME_13	INCOME
89	INCOME_14	INCOME
90	INCOME_15	INCOME
91	INCOME_16	INCOME
92	INCOME_17	INCOME
93	INCOME_18	INCOME
94	INCOME_19	INCOME
95	INCOME_21	INCOME
96	INCOME_22	INCOME
97	INCOME_23	INCOME
98	INCOME_24	INCOME
99	INCOME_25	INCOME
100	INCOME_26	INCOME
101	INCOME_27	INCOME
102	INCOME_28	INCOME
103	INCOME_29	INCOME
104	INCOME_30	INCOME
105	INCOME_31	INCOME
106	INCOME_32	INCOME
107	INCOME_33	INCOME
108	INCOME_34	INCOME
109	INCOME_35	INCOME
110	INCOME_36	INCOME
111	INCOME_37	INCOME
112	INCOME_38	INCOME
113	INCOME_39	INCOME
114	INCOME_40	INCOME
115	INCOME_41	INCOME
116	INCOME_42	INCOME
117	INCOME_43	INCOME
118	INCOME_44	INCOME
119	INCOME_45	INCOME
120	INCOME_46	INCOME
121	INCOME_47	INCOME
122	INCOME_48	INCOME
123	CITY_0	CITY
124	CITY_1	CITY
125	CITY_2	CITY
126	CITY_3	CITY
127	CITY_4	CITY
128	CITY_5	CITY
129	CITY_6	CITY
130	CITY_7	CITY
131	CITY_8	CITY
132	CITY_9	CITY
133	CITY_10	CITY
134	CITY_11	CITY
135	CITY_12	CITY
136	CITY_13	CITY
137	CITY_14	CITY
138	CITY_15	CITY
139	CITY_16	CITY
140	CITY_17	CITY
141	CITY_18	CITY
142	CITY_19	CITY
143	CITY_20	CITY
144	CITY_21	CITY
145	CITY_22	CITY
146	CITY_23	CITY
147	CITY_24	CITY
148	OCC_0	OCCUPATION
149	OCC_1	OCCUPATION
150	OCC_2	OCCUPATION
151	OCC_3	OCCUPATION
152	OCC_4	OCCUPATION
153	OCC_5	OCCUPATION
154	OCC_6	OCCUPATION
155	OCC_7	OCCUPATION
156	OCC_8	OCCUPATION
157	OCC_9	OCCUPATION
158	OCC_10	OCCUPATION
159	OCC_11	OCCUPATION
160	OCC_12	OCCUPATION
161	OCC_13	OCCUPATION
162	OCC_14	OCCUPATION
163	OCC_15	OCCUPATION
164	OCC_16	OCCUPATION
165	OCC_17	OCCUPATION
166	OCC_18	OCCUPATION
167	OCC_19	OCCUPATION
168	OCC_20	OCCUPATION
169	OCC_21	OCCUPATION
170	OCC_22	OCCUPATION
171	OCC_23	OCCUPATION
172	OCC_24	OCCUPATION
173	OCC_25	OCCUPATION
174	OCC_26	OCCUPATION
175	OCC_27	OCCUPATION
176	OCC_28	OCCUPATION
177	OCC_29	OCCUPATION
178	OCC_30	OCCUPATION
179	OCC_31	OCCUPATION
180	OCC_32	OCCUPATION
181	OCC_33	OCCUPATION
182	OCC_34	OCCUPATION
183	OCC_35	OCCUPATION
184	OCC_36	OCCUPATION
185	OCC_37	OCCUPATION
186	OCC_38	OCCUPATION
187	OCC_39	OCCUPATION
188	OCC_40	OCCUPATION
189	OCC_41	OCCUPATION
190	OCC_42	OCCUPATION
191	OCC_43	OCCUPATION
192	OCC_44	OCCUPATION
193	OCC_45	OCCUPATION
194	OCC_46	OCCUPATION
195	OCC_47	OCCUPATION
196	OCC_48	OCCUPATION
197	OCC_49	OCCUPATION
198	OCC_50	OCCUPATION
199	OCC_51	OCCUPATION
200	OCC_52	OCCUPATION
201	OCC_53	OCCUPATION
202	OCC_54	OCCUPATION
203	OCC_55	OCCUPATION
204	OCC_56	OCCUPATION
205	OCC_57	OCCUPATION
206	OCC_58	OCCUPATION
207	OCC_59	OCCUPATION
208	OCC_60	OCCUPATION
209	OCC_61	OCCUPATION
210	OCC_62	OCCUPATION
211	OCC_63	OCCUPATION
212	OCC_64	OCCUPATION
213	OCC_65	OCCUPATION
214	OCC_66	OCCUPATION
215	OCC_67	OCCUPATION
216	OCC_68	OCCUPATION
217	OCC_69	OCCUPATION
218	OCC_70	OCCUPATION
